company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
AfterShip,"Jul 28, 2025 12.57 PM",hide,"28, 2025 12.57 PM AfterShip is AfterShip E eCommerce solutions, offering software for_ eCommerce solutions, offering software for__. SaaS company specializing in [tership kership",aftership.com,201-500,Private Equity,2012,,69,Series,Tiger Global,"Singapore, SG",3% | 2% | 2 % | 3% | 23% | 91% | 251% | 520%,,,"hide | AfterShip | Jul 28, 2025 12.57 PM | 28, 2025 12.57 PM | AfterShip is | AfterShip E | eCommerce solutions, offering software for_ | eCommerce solutions, offering software for__. | SaaS company specializing in | aftership.com | 201-500 | 341 | Singapore | nla | nfa | nla | [tership | kership | Load contacts | ntacts | Private Equity | 2012 | 69 | Apr 21, 2021 | Series | Tiger Global | nfa | nla | 1Ofund xyz | 1Ofund.xyz | nfa | nla | nla | nfa | nla | 39 | nla | nfa | 3% | 2% | 2 % | 3% | 23% | 91% | 251% | 520% | nla | Singapore, SG | nfa | nla | nfa | nla | nfa | nla | nla | nlal"
Agrim,"Jul 28, 2025 12.57 PM",save | hide,Agrim Wholesale Private Limited is a BZB marketplace specializing in agri-inputs. The_ agrim app acirimwpl,agrim.app,201-500,Venture Capital,2020,,32.9,,,"Sector 66 Road; Spaze Business Park; Gurugram, Haryana",25% | 32% | 55% | 59%,,,"save | hide | Agrim | Jul 28,2025 12.57 PM | Agrim Wholesale Private Limited is a BZB | marketplace specializing in agri-inputs. The_ | agrim app | 201-500 | 815 | India | Haryana | Gurugram | acirimwpl | Load contacts | ntacts | Venture Capital | 2020 | 32.9 | 17.3 | Aug 29,2024 | Series B | Accion | nja | Omnivore | Asi | nia | nia | nja | nja | 25% | 32% | 55% | nla | nfa | nla | nfa | 59% | 122098, IN | Sector 66 Road; Spaze Business Park; Gurugram, Haryana | nla | nla | nfa | nla | nfa"
Agrivi,"Jul 28, 2025 12.57 PM",save | hide,AGRIVI is in digital agriculture solutions technology company specializing offers a . London agirivi,agrivi.com,51-200,Venture Capital,2013,,7.3,Series,AgriTech Hub Fund,"Wenlock Road 20-22; London; England N1 7GU, GB",2% | -7% | -2% | 2% | ~25% | ~34% | ~2% | 5% | 332%,,,"save | hide | Agrivi | Jul 28, 2025 12.57 PM | AGRIVI is | in digital agriculture solutions | technology company specializing | offers a . | agrivi.com | 51-200 | United Kingdom | (UK) | England | London | agirivi | Load contacts | ntacts | Venture Capital | 2013 | 7.3 | 5.3 | Nov 16, 2020 | Series | AgriTech Hub Fund | Corporate | Fil Rouge Capital | nla | nla | nla | nla | 2% | -7% | -2% | 2% | ~25% | ~34% | ~2% | 5% | 332% | Wenlock Road 20-22; London; England N1 7GU, GB | nla | nla | nla | nla | nla"
Aiperia,"Jul 28, 2025 12.57 PM",save,supply chain optimization for the food__ AIPERIA is a software company specializing in planerai,aiperia.com,51-200,Venture Capital,2021,,,Series,Earlybird Venture Capital,"Gitterle 2; GroBrinderfeld, Baden-Wirttemberg 97950, DE",3% | 1% | 9%,,,"save | Aiperia | Jul 28,2025 12.57 PM | supply chain optimization for the food__ | AIPERIA is a software company specializing in | aiperia.com | 51-200 | Germany | nla | nla | planerai | Load contacts | ntacts | Venture Capital | 2021 | Apr 17, 2024 | Series | Earlybird Venture Capital | nla | LBBW Venture Cal | nla | nla | nla | nla | 3% | 1% | 9% | nla | nla | nia | nia | nla | Gitterle 2; GroBrinderfeld, Baden-Wirttemberg 97950, DE | nia | nla | nla | nia | nla"
Alegra,"Jul 28, 2025 12.57 PM",hide,accounting and invoicing solutions software company that provides lored Colombia Antioquia Medellin alegra,alegra.com,201-500,Private Equity,2012,,0.1,Series,Riverwood Capital,"Carrera 43C; 5-115; Medellin, Medellin 03100,CO",2% | 28 % | 22% | 54% | 132% | 477% | 751% | -12%,,,"hide | Alegra | Jul 28, 2025 12.57 PM | Alegra | accounting and invoicing solutions | software company that provides | lored | alegra.com | 201-500 | 681 | Colombia | Antioquia | Medellin | alegra | Load contacts | ntacts | Private Equity | 2012 | 0.1 | nla | Jul 10,2023 | Series | Riverwood Capital | nla | Riverwood Capital | nla | nla | nla | 48 | nla | 2% | 28 % | 22% | 54% | 132% | 477% | 751% | -12% | Carrera 43C; 5-115; Medellin, Medellin 03100,CO | nla | nla | nla | nla | ~nla"
Alleaves,"Jul 28, 2025 12.57 PM",save,cannabis technology solutions. They provid_ software company specializing in alleaves com Fort Lauderdale alleaves,alleaves.com,51-200,Venture Capital,2018,,,Series,theelevenfund com,"6750 N Andrews Ave Suite 325; Fort Lauderdale; FL 33309, US",13% | 23% | 8 % | 23% | 188 % | 136 % | ~87%,,,"save | Khide | Alleaves | Jul 28, 2025 12.57 PM | cannabis technology solutions. They provid_ | Alleaves | software company specializing in | alleaves com | 51-200 | United States | (USA) | Florida | Fort Lauderdale | alleaves | Load contacts | ntacts | Venture Capital | 2018 | Jul 18, 2022 | Series | theelevenfund com | Corporate | ~theelevenfundcon | USA Cannabis Dire | 30M - 3OM | nla | 13% | 23% | 8 % | 23% | 188 % | 136 % | nja | ~87% | 6750 N Andrews Ave Suite 325; Fort Lauderdale; FL 33309, US | nla | nla | nla | nja | nja"
Alloy.ai,"Jul 28, 2025 12.57 PM",hide,provides data integration and analytics _ Alloy.ai is white-collar service company that alloy.ai San Francisco alloy-inc,alloy.ai,51-200,Venture Capital,2016,,15.3,Series,8vc,"528 Folsom St; San Francisco, California 94105, US",-3% | -9% | 9% | 20% | -13% | -19% | 29%,,,"hide | Alloy.ai | Jul 28, 2025 12.57 PM | provides data integration and analytics _ | Alloy.ai is | white-collar service company that | alloy.ai | 51-200 | United States | (USA) | California | San Francisco | alloy-inc | Load contacts | ntacts | Venture Capital | 2016 | 15.3 | May 13, 2018 | Series | 8vc | nla | Menlo Ventures | nla | nla | nja | nja | nla | -3% | -9% | 9% | 20% | -13% | -19% | nfa | 29% | 528 Folsom St; San Francisco, California 94105, US | nfa | nla | nla | nla | nla"
Alvys,"Jul 28, 2025 12.57 PM",save,Alvys is a software company that specializes in transportation management solutions. It.. alvys com Solana Beach alvysinc,alvys.com,51-200,Venture Capital,2020,,26.8,Series,Bonfire Ventures,"Solana Beach; CA 92075, US","-10% | ~6% | 6% | 17% | 67% | 103% | 1,575% | ~20%",,,"save | Alvys | Jul 28, 2025 12.57 PM | Alvys is a software company that specializes | in transportation management solutions. | It.. | alvys com | 51-200 | 134 | United States | (USA) | California | Solana Beach | alvysinc | Load contacts | ntacts | Venture Capital | 2020 | 26.8 | 20.5 | Jul 14, 2024 | Series | Bonfire Ventures | nla | Picus Capital | nla | nla | nla | nla | -10% | ~6% | 6% | 17% | 67% | 103% | 1,575% | nla | ~20% | Solana Beach; CA 92075, US | nla | nla | nla | nla | nla"
Ambition,"Jul 28, 2025 12.57 PM",save | hide,"28, 2025 12.57 PM Ambition is a sales coaching software provider that offers Ambition is sales coaching software comprehensive platfor _ comprehensive platfor __ ambition com Chattanooga Inbition-Ilc hbition-Ilc",ambition.com,51-200,Private Equity,2013,,21.2,Series,Nashville Capital Network,"1603 Fagan St; Chattanooga, Tennessee 37408,US",F1% | -1% | -4% | 4% | -4% | 4% | ~22% | -22% | ~40% | 40% | 13% | -24%,,,"save | Khide | hide | Ambition | Jul 28, 2025 12.57 PM | 28, 2025 12.57 PM | Ambition is a sales coaching software | provider that offers | Ambition is | sales coaching software | comprehensive platfor _ | comprehensive platfor __ | ambition com | 51-200 | United States | (USA) | Tennessee | Chattanooga | Inbition-Ilc | hbition-Ilc | Load contacts | ntacts | Private Equity | 2013 | 21.2 | 15.5 | Oct 6, 2021 | Series | Nashville Capital Network | nfa | nja | Redpoint | Initi: | nja | nla | nla | nja | nfa | nja | nla | nfa | F1% | -1% | -4% | 4% | -4% | 4% | ~22% | -22% | ~40% | 40% | nfa | nja | 13% | -24% | 1603 Fagan St; Chattanooga, Tennessee 37408, US | 1603 Fagan St; Chattanooga, Tennessee 37408,US | nfa | nja | ~nfa | ~nla | nja | nja | nja"
Anchanto,"Jul 28, 2025 12.57 PM",save | hide,"Jul 28,2025 12:57 PM specializing in specializing in e-commerce and supply chai__ Anchanto is a technology company Anchanto is technology company commerce ad supply chai__ anchanto com arichanto",anchanto.com,201-500,Venture Capital,2011,,20.1,,,"75 High Street; #01-01 The Co; Singapore, Singapore 179435,SG",-1% | 4% | 43% | 3% | ~2% | -2% | 19% | 75% | 228% | 225% | -25%,,,"save | hide | Anchanto | Jul 28,2025 12.57 PM | Jul | 28,2025 12:57 PM | specializing in | specializing in e-commerce and supply chai__ | Anchanto is a technology company | Anchanto is | technology company | commerce ad supply chai__ | anchanto com | anchanto.com | 201-500 | 309 | Singapore | nla | nla | nja | arichanto | Load contacts | ntacts | Venture Capital | 2011 | 20.1 | 12.1 | Aug ` | Aug 13,2020 | 13,2020 | Series C | Asendia | nja | nia | Cub Capital | nia | nla | nla | nia | nja | nia | 34 | nja | nia | -1% | 4% | 43% | 3% | ~2% | -2% | 19% | 75% | 228% | 225% | -25% | 75 High Street; #01-01 The Co; Singapore, Singapore 179435, SG | 75 High Street; #01-01 The Co; Singapore, Singapore 179435,SG | nla | nfa | nla | nfa | nla | nfa | nla"
Ankorstore,"Jul 28, 2025 12.57 PM",save | hide,connects independent brands with retailers_. wholesale distributor that ankorstore com arikorstore,bondcap.com,"501-1,000",Private Equity,2019,,421.8,Series,Aglae Ventures,"Paris, Paris 75002, FR",-9% | -16% | -29% | 29% | -51% | -68 % | 81% | 796% | ~24%,,,"save | hide | Ankorstore | Jul 28, 2025 12.57 PM | connects independent brands with retailers_. | Ankorstore | wholesale distributor that | ankorstore com | 501-1,000 | 242 | France | ile-De-France | Paris | arikorstore | Load contacts | ntacts | Private Equity | 2019 | 421.8 | 283.3 | Jan | 2022 | Series | Aglae Ventures | nla | bondcap.com | nla | nla | nla | nla | -9% | -16% | -29% | 29% | -51% | -68 % | 81% | 796% | ~24% | Paris, Paris 75002, FR | nla | nfa | nla | nfa | nfa"
Apicbase,"Jul 28, 2025 12.57 PM",save | hide,comprehensive F&B management platform __ software company that provides get apicbase com apicbase,apicbase.com,51-200,Venture Capital,2017,,8.5,Series,Ark Angels Activator Fund,"Samberstraat 3; Antwerp, Flemish Region 2060, BE",-4% | ~9% | 9% | -16% | -16 % | 9% | ~27% | 17% | 51%,,,"save | hide | Apicbase | Jul 28, 2025 12.57 PM | Apicbase | comprehensive F&B management platform __ | software company that provides | get apicbase com | 51-200 | Belgium | Flanders | Antwerp | apicbase | Load contacts | ntacts | Venture Capital | 2017 | 8.5 | May 18, 2021 | Series | Ark Angels Activator Fund | nla | Newion | Ark A | nla | nla | nla | nla | -4% | ~9% | 9% | -16% | -16 % | 9% | ~27% | 17% | 51% | nla | Samberstraat 3; Antwerp, Flemish Region 2060, BE | nla | nla | nla | nla | nla"
ArchiPro,"Jul 28, 2025 12.57 PM",save,customers with ArchiPro is digital platform that connects wide range products an: archipro.co.nz New Zealand Auckland Auckland archipro,archipro.co,51-200,Private Equity,2014,,38.7,Series,Icehouse Ventures,"Saint Georges Bay Road; Auckland, AUK, NZ",-3% | 10% | -23% | -26% | 62% | 106%,,,"save | Khide | ArchiPro | Jul 28, 2025 12.57 PM | customers with | ArchiPro is | digital platform that connects | wide range | products an: | archipro.co.nz | 51-200 | 128 | New Zealand | Auckland | Auckland | archipro | Load contacts | ntacts | Private Equity | 2014 | 38.7 | 32.6 | Mar | 2022 | Series | Icehouse Ventures | nja | Liger Trading NZ | nja | nla | nja | nla | -3% | 10% | nla | nja | -23% | -26% | 62% | 106% | nla | Saint Georges Bay Road; Auckland, AUK, NZ | nla | nla | nla | nla | nla"
ARZERENRTIRA],"Jul 28, 2025 12.57 PM",save | hide,"Jul 28,2025 12:57 PM Qince is sales management software and image_ technology company specializing in technology company 'specializing in %e5%8d997%e4_ % e5%8d997%e4_",waiqin365.com,201-500,Venture Capital,2012,,0.7,,,"0R,A5 , CN",-1% | 40% | 30% | 30% | ~25% | -40% | -22% | 222%,,,"save | hide | MSSEARNTRAJ | ARZERENRTIRA] | Jul 28,2025 12.57 PM | Jul | 28,2025 12:57 PM | Qince is | sales management software and image_ | technology company specializing in | technology company | 'specializing in | waiqin365.com | 201-500 | China | Jiangsu | Nanjing | %e5%8d997%e4_ | % e5%8d997%e4_ | Load contacts | ntacts | Venture Capital | 2012 | 0.7 | nla | nja | Jun 14,2022 | Series € | Series C | nla | nja | nla | nja | China Broadband | nla | nja | nla | nia | nla | nja | nla | nja | -1% | 40% | 30% | 30% | ~25% | -40% | -22% | 222% | nfa | nla | 1R, ;IDj , CN | 0R,A5 , CN | nla | nla | nla | nfa | nla | nfa | nla"
autone,"Jul 28, 2025 12.57 PM",,specializing in inventory management _ Autone is white-collar service company London alitoneautone,autone.io,51-200,Venture Capital,2021,,21.2,Series,2100 Ventures,"London, England, GB",5 % | 27% | 151% | 420% | '500% | -2%,,,"autone | Jul 28, 2025 12.57 PM | specializing in inventory management _ | Autone is | white-collar service company | autone.io | 51-200 | United Kingdom | (UK) | England | London | alitoneautone | Load contacts | ntacts | Venture Capital | 2021 | 21.2 | 16.9 | Oct 15, 2024 | Series | 2100 Ventures | nla | Motier Ventures | nla | nla | nja | nja | 5 % | 27% | 151% | 420% | '500% | nfa | nfa | -2% | London, England, GB | nla | nla | nla | nla | nla"
Beroe Inc,"Jul 28, 2025 12.57 PM",,Beroe is a procurement intelligence provider that offers Al-powered solutions to help. beroeinc com Raleigh buroe-inc,beroeinc.com,"501-1,000",Private Equity,2006,,2016,Series,Access Asset Managers Pr,"27606, US",1% | 4% | 10% | 24% | 35% | 47% | 56 % | -15%,,,"Beroe Inc | Jul 28, 2025 12.57 PM | Beroe is a procurement intelligence provider | that offers Al-powered solutions to help. | beroeinc com | 501-1,000 | 796 | United States | (USA) | North Carolina | Raleigh | buroe-inc | Load contacts | ntacts | Private Equity | 2006 | May | 2016 | Series | Access Asset Managers Pr | Corporate | Access Asset Mar | nnamu | Forest | nla | 84 | nla | 1% | 4% | 10% | 24% | 35% | 47% | 56 % | -15% | 1017 Main Campus Drive, Centennial Campus ; Raleigh, NC | 27606, US | nla | nla | nla | nla | nla"
Betterworks,"Jul 28, 2025 12.57 PM",save | hide,Betterworks is a performance management software provider that offers intelligent_. betterworks com (USA) #tterworks,hyphenapp.io,51-200,Venture Capital,2013,,161.5,,,"101 Jefferson Drive; Ist Floor; Menlo Park; CA 94025,US",6% | 7% | ~2% | 2% | 0% | ~2% | 43% | 66% | 2%,,,"save | hide | Betterworks | Jul 28,2025 12.57 PM | Betterworks is a performance management | software provider that offers intelligent_. | betterworks com | 51-200 | 208 | (USA) | United States | California | Menlo Park | #tterworks | Load contacts | ntacts | Venture Capital | 2013 | 161.5 | Nov 14,2024 | Series B | nla | Corporate | Plug and Play Tecl | hyphenapp.io | nla | nla | 6% | 7% | ~2% | 2% | 0% | ~2% | 43% | 66% | 2% | 101 Jefferson Drive; Ist Floor; Menlo Park; CA 94025,US | nla | nla | nfa | nla | nfal"
BeyondTrucks,"Jul 28, 2025 12.57 PM",,BeyondTrucks is specializes in providing transportation . software company that beyondtrucks com San Francisco halulistix,beyondtrucks.com,51-200,Venture Capital,2019,,,Series,Deep Tech Fund (an Alumn,"1 Ferry Bldg;; Suite 201; San Francisco, California 94111, US",10% | 29% | 55% | 82% | 287% | -59%,,,"Khide | BeyondTrucks | Jul 28, 2025 12.57 PM | BeyondTrucks is | specializes in | providing transportation . | software company that | beyondtrucks com | 51-200 | United States | (USA) | California | San Francisco | halulistix | Load contacts | ntacts | Venture Capital | Venture | Capital | 2019 | nla | Sep 29, 2024 | Series | Deep Tech Fund (an Alumn | nla | Pear VC | imo.! | nla | nla | nla | nla | 10% | 29% | 55% | 82% | 287% | nla | nla | -59% | 1 Ferry Bldg;; Suite 201; San Francisco, California 94111, US | nla | nla | nla | nla | nla"
Bijak,"Jul 28, 2025 12.57 PM",save | hide,connects farmers and traders with market: _ Bijak is an agricultural trading company that connects farmers and traders with market _. bijak in bijak.in bijakapp,plot.no,201-500,Venture Capital,2019,,33.7,Series,Bertelsmann Multimedia Gr,"Rd, Gurugram, Haryana 122003; Gurgaon,",~9% | 9% | ~9% | -9% | 9% | -16 % | -16% | 1% | 75% | 75 % | 791%,,,"save | hide | Bijak | Jul 28, 2025 12.57 PM | connects farmers and traders with market: _ | Bijak is an agricultural trading company that | connects farmers and traders with market _. | bijak in | bijak.in | 201-500 | 303 | India | Haryana | Gurugram | bijakapp | Load contacts | ntacts | Venture Capital | 2019 | 33.7 | 19.4 | Jan 19, 2022 | Series | Bertelsmann Multimedia Gr | nla | Omidyar Network | nla | nfa | nla | nfa | nla | nla | ~9% | 9% | ~9% | -9% | 9% | -16 % | -16% | nla | nfa | 1% | 75% | 75 % | 791% | nla | 6th | Sector | 6th Floor; Delta tower; Plot No.54; Delta Tower; Plot No. 54, | Sector 44 Rd, Gurugram, Haryana 122003; Gurgaon; Haryana. | Floor, | 44 | Delta tower; Plot No.54; Delta Tower; Plot No. 54, | Rd, Gurugram, Haryana 122003; Gurgaon, | Harvana _. | nla | nfa | nla | nfa | nla | nfa | nla | nfa | ~nla | nla"
bijnis,"Jul 28, 2025 12.57 PM",save | hide,Bijnis is a digital platform that focuses on revolutionizing the manufacturing sector by__ ~bijnis.com bijnisdotcom,bijnis.com,201-500,Private Equity,2015,,41.6,,,"Industrial Estate; New Delhi, Delhi 110044, IN","3% | 6% | 6 % | 11% | ""15% | 65% | 255% | 595% | 16 %",,,"save | hide | bijnis | Jul 28,2025 12.57 PM | Bijnis is a digital platform that focuses on | revolutionizing the manufacturing sector by__ | ~bijnis.com | 201-500 | 682 | India | Delhi | New Delhi | bijnisdotcom | Load contacts | ntacts | Private Equity | 2015 | 41.6 | 29.7 | Sep 27, 2021 | Series B | Info Edge Ventures | nja | Yukti Securities | nia | nia | nja | nja | 3% | 6% | 6 % | 11% | ""15% | 65% | 255% | 595% | 16 % | Level 4, 2nd Floor; Espire Campus; A-41, Mohan Cooperative | Industrial Estate; New Delhi, Delhi 110044, IN | nla | nla | nla | nla | nfa"
Bizom,"Jul 28, 2025 12.57 PM",,specializing in sales automation and . retail technology provider bizom com mobisy - technologies-pvt-Itd,bizom.com,201-500,Venture Capital,2008,,18.2,Series,IndiaMART InterMESH Limi,"Opp. Vakil Cardenia Apts, Bellandur; Bangalore, Karnata .",3% | 6 % | 10% | 18 % | 38 % | 98 % | 169%,,,"Bizom | Jul 28, 2025 12.57 PM | specializing in sales automation and . | Bizom | retail technology provider | bizom com | 201-500 | 522 | India | Karnataka | Bengaluru | mobisy - | technologies-pvt-Itd | Load contacts | ntacts | Venture Capital | 2008 | 18.2 | Dec 17, 2024 | Series | IndiaMART InterMESH Limi | nja | Pavestone VC | nja | nla | nja | 50 | nja | 3% | 6 % | 10% | 18 % | 38 % | 98 % | 169% | nla | Sy. No.75/1, Sri Arunachaleshwara Building;; Bellandur Main | Road, | Opp. Vakil Cardenia Apts, Bellandur; Bangalore, Karnata . | nla | nla | nla | nla | nla"
